tabla,columna,nulos,pct_nulos
customers,customer_id,0,0.0
customers,tenure_months,0,0.0
customers,age,0,0.0
customers,state,0,0.0
customers,income_band,0,0.0
customers,monthly_income_est_mxn,0,0.0
customers,payday_day_of_month,0,0.0
customers,engagement_score,0,0.0
customers,avg_balance_mxn,0,0.0
customers,card_utilization_pct,0,0.0
customers,days_negative_90d,0,0.0
customers,savings_rate_90d_pct,0,0.0
customers,revenue_ltm_mxn,0,0.0
customers,nps_last_score,26224,69.01
customers,has_cuenta_nu,0,0.0
customers,has_cajita_turbo,0,0.0
customers,has_personal_loan,0,0.0
customers,has_investments,0,0.0
customers,has_payroll_portability,0,0.0
app_events,event_id,0,0.0
app_events,customer_id,0,0.0
app_events,event_ts,0,0.0
app_events,screen,0,0.0
app_events,action,0,0.0
financial_actions,action_id,0,0.0
financial_actions,customer_id,0,0.0
financial_actions,action_ts,0,0.0
financial_actions,action_type,0,0.0
financial_actions,amount_mxn,0,0.0
financial_actions,is_recurring,0,0.0
nudges,nudge_id,0,0.0
nudges,customer_id,0,0.0
nudges,shown_ts,0,0.0
nudges,nudge_type,0,0.0
nudges,surface,0,0.0
nudges,exposure_no,0,0.0
nudges,hours_since_last_nudge,37911,13.3
nudges,engaged,0,0.0
nudges,dismissed,0,0.0
nudges,opted_out_after,0,0.0
nudge_outcomes,nudge_id,0,0.0
nudge_outcomes,delta_card_utilization_pct_90d,0,0.0
nudge_outcomes,delta_savings_rate_pct_90d,0,0.0
nudge_outcomes,delta_days_negative_90d,0,0.0
nudge_outcomes,delta_revenue_mxn_90d,0,0.0
