screen,bill_payment,card_payment,deposit_in,investment_buy,limit_increase_request,loan_request,savings_move,spei_out
bill_payment,4.84,0.22,0.59,0.22,0.17,0.22,0.55,0.22
card_settings,0.18,0.21,0.18,0.21,0.23,0.24,0.18,0.22
card_statement,0.18,6.36,0.19,0.22,0.23,0.22,0.18,0.22
home,0.47,0.22,3.18,0.21,0.22,0.22,0.54,0.23
investments,0.2,0.22,0.17,28.03,0.28,0.21,0.18,0.22
limit_increase,0.17,0.24,0.18,0.18,32.69,0.34,0.18,0.23
loan_simulation,0.18,0.23,0.18,0.19,0.3,30.16,0.18,0.22
savings_cajita,0.53,0.22,0.64,0.2,0.18,0.23,7.64,0.22
support,0.19,0.21,0.19,0.17,0.2,0.22,0.14,0.23
transfer_spei,0.18,0.22,0.19,0.21,0.23,0.2,0.17,3.23
