screen,bill_payment,card_payment,deposit_in,investment_buy,limit_increase_request,loan_request,savings_move,spei_out
bill_payment,56.81,1.65,7.76,0.28,0.16,0.18,3.55,3.88
card_settings,2.14,1.55,2.31,0.28,0.22,0.2,1.18,3.93
card_statement,2.1,47.66,2.45,0.29,0.22,0.18,1.14,3.94
home,5.51,1.64,41.84,0.28,0.2,0.18,3.52,3.99
investments,2.32,1.66,2.3,36.22,0.26,0.17,1.14,3.87
limit_increase,1.95,1.79,2.38,0.23,30.57,0.28,1.14,4.1
loan_simulation,2.06,1.73,2.37,0.24,0.28,24.84,1.19,3.79
savings_cajita,6.22,1.65,8.45,0.26,0.17,0.19,49.39,3.89
support,2.2,1.6,2.56,0.21,0.19,0.18,0.93,4.11
transfer_spei,2.13,1.63,2.5,0.28,0.21,0.17,1.12,56.56
